displacement energy(eV/Ang^2) energy(J/m^2)
0.0 0.0 0.0
0.05000001 0.000432281045749145 0.00692590891687973
0.10000001 0.001713555246635 0.0274541936986116
0.15000001 0.00379892570504183 0.0608655264297229
0.20000001 0.00661896439204825 0.106047546970169
0.25000001 0.0100775856289388 0.161460792358195
0.30000001 0.0140712387441002 0.22544619720815
0.35000001 0.0184881534209367 0.296213002845867
0.40000001 0.0232272524253648 0.37214177274107
0.45000001 0.0281861600605485 0.451592266687622
0.50000001 0.0332708403966456 0.533057862335538
0.55000001 0.0383977062050141 0.615199344056739
0.60000001 0.0434995225310577 0.696939488650849
0.65000001 0.0485217526443502 0.777404520986454
0.70000001 0.0533870780578856 0.855355661792847
0.75000001 0.0580227078994156 0.929626672216556
0.80000001 0.0623563211443047 0.999058841196046
0.85000001 0.0663162185744332 1.06250342011282
0.90000001 0.0698392757519123 1.11894904353333
0.95000001 0.0728708569215038 1.16752034977307
1.00000001 0.0753678025158313 1.20752584602782
1.05000001 0.0773004337650112 1.23849002577467
1.10000001 0.0786563997915219 1.26021500605393
1.15000001 0.0794418517688057 1.27279933957201
1.20000001 0.0796811730894806 1.27663369151772
1.25000001 0.0794157332881323 1.27238087519572
1.30000001 0.078693896777919 1.26081577426942
1.35000001 0.0775724837255617 1.24284874856889
1.40000001 0.0761227061851529 1.21962074148103
1.45000001 0.0744183413191913 1.19231379397811
1.50000001 0.072531242642688 1.16207912678844
1.55000001 0.0705274966041285 1.12997556200787
1.60000001 0.0684736258132059 1.09706890980821
1.65000001 0.0664251337559271 1.06424843445964
1.70000001 0.064420739063224 1.03213447708943
1.75000001 0.0624988435113916 1.00134230225169
1.80000001 0.0606773617556872 0.97215893449171
1.85000001 0.0589702920506408 0.944808650670159
1.90000001 0.0573822690112221 0.919365705537416
1.95000001 0.0559350975981916 0.8961794532316
2.00000001 0.054664183643078 0.875817157958964
2.05000001 0.0535965696625399 0.858712088790872
2.10000001 0.0527690245692375 0.845453348910453
2.15000001 0.052223027224492 0.836705503230539
2.20000001 0.052014004796916 0.833356593281301
2.25000001 0.0521951567864321 0.836258969390172
2.30000001 0.0528151395282089 0.846192192328832
2.35000001 0.0539184709413487 0.863869518104927
2.40000001 0.05554118860298 0.889868332609489
2.45000001 0.0577062803693651 0.924556942064208
2.50000001 0.0604195302974223 0.968028017317782
2.55000001 0.0636665521225302 1.02005106489981
2.60000001 0.0674070058154745 1.07997976600731
2.65000001 0.0715779797880871 1.14680616543671
2.70000001 0.0760981757736418 1.21922772078884
2.75000001 0.0808870165078671 1.2959534414024
2.80000001 0.0858540131428131 1.37553353546937
2.85000001 0.0909026212814347 1.4564211905469
2.90000001 0.0959360786088366 1.53706610276176
2.95000001 0.100860017202891 1.61595633065882
3.00000001 0.105584409724314 1.69164947661727
3.05000001 0.110025130057681 1.76279769108718
3.10000001 0.114105497612961 1.82817241503855
3.15000001 0.117758007544476 1.88669210113728
3.20000001 0.120926063916378 1.93744998212952
3.25000001 0.123569132423372 1.97979662656495
3.30000001 0.125654502218075 2.01320794866234
3.35000001 0.127173758976471 2.03754913602986
3.40000001 0.128162709472872 2.05339387668812
3.45000001 0.128634803519886 2.06095766048566
3.50000001 0.128581125411808 2.06009764200686
3.55000001 0.128002685327464 2.05083000610786
3.60000001 0.126909871922718 2.03332119747782
3.65000001 0.125276061479452 2.00714465694064
3.70000001 0.123074984770968 1.9718795049014
3.75000001 0.120322007742452 1.92777193105041
3.80000001 0.117051451426392 1.87537181918961
3.85000001 0.113306863015435 1.81537687256745
3.90000001 0.109147277995624 1.74873294435797
3.95000001 0.1046422796375 1.67655488194723
4.00000001 0.0998701959889184 1.60009763956102
4.05000001 0.09491647768475 1.52073028789957
4.10000001 0.0898721688436734 1.43991151519266
4.15000001 0.0848323037768143 1.35916393962885
4.20000001 0.0798938663481088 1.2800414146899
4.25000001 0.0751526917367652 1.20407938989124
4.30000001 0.0706969408337791 1.13269035904232
4.35000001 0.0666079168780558 1.06717694420545
4.40000001 0.0629631643782567 1.00878154591906
4.45000001 0.059822686501049 0.958465521316777
4.50000001 0.0572206320072565 0.916775994102988
4.55000001 0.0551671204756312 0.883875097874351
4.60000001 0.0536525722495228 0.859609349543725
4.65000001 0.0526509794426552 0.843562056653182
4.70000001 0.0521242054952495 0.835122203887502
4.75000001 0.0520265535799392 0.833557647038089
4.80000001 0.0523090035915301 0.838082997092381
4.85000001 0.0529162086844058 0.847811499437041
4.90000001 0.0537958673138534 0.861905190579439
4.95000001 0.0549077261743301 0.879719141183593
5.00000001 0.0562164011963956 0.900686435710499
