displacement energy(eV/Ang^2) energy(J/m^2)
0.0 0.0 0.0
0.05000001 0.00042965532726801 0.00688384025062536
0.10000001 0.00171286961924376 0.0274432087319808
0.15000001 0.00379717753026202 0.060837517569712
0.20000001 0.00658452516038788 0.105495769407881
0.25000001 0.00994773509742531 0.159380356579402
0.30000001 0.0137895199362259 0.220932562334042
0.35000001 0.0180150611811241 0.288633226229601
0.40000001 0.0225182800920758 0.360782778741142
0.45000001 0.027216780630507 0.436061089217814
0.50000001 0.0320455493255128 0.513426526567334
0.55000001 0.0369589193922075 0.592147427914922
0.60000001 0.0418873268066808 0.671109254239653
0.65000001 0.0467610391305159 0.749194768221555
0.70000001 0.0515151846249827 0.825364609569118
0.75000001 0.0560826245569557 0.898543096720557
0.80000001 0.0603869569737828 0.967506134910802
0.85000001 0.0643462353616246 1.03094079567239
0.90000001 0.0678869023024013 1.08766855872832
0.95000001 0.0709419676134113 1.13661612255802
1.00000001 0.0734518159650026 1.17682834386459
1.05000001 0.075373791986665 1.2076218079717
1.10000001 0.0767353391239094 1.2294362075419
1.15000001 0.0775606096957777 1.24265850555553
1.20000001 0.0778779523633776 1.24774289783424
1.25000001 0.0777175987307644 1.24517374828467
1.30000001 0.0770865420185324 1.23506310070185
1.35000001 0.0760255808380962 1.2180646211888
1.40000001 0.0745812855749996 1.1949244499052
1.45000001 0.0728077567665173 1.16650937339468
1.50000001 0.0708024657073737 1.13438105464457
1.55000001 0.0686548948536999 1.09997316128132
1.60000001 0.0664401045421779 1.06448829300307
1.65000001 0.0642317285163542 1.02910619295617
1.70000001 0.0621023812205667 0.994990273306097
1.75000001 0.0600877788420007 0.962712770707072
1.80000001 0.0582056053716086 0.932557014053175
1.85000001 0.0564756892062402 0.904840689423637
1.90000001 0.0549077373764156 0.879719320660867
1.95000001 0.0535139419595713 0.857388246465609
2.00000001 0.0523021335713182 0.83797292718598
2.05000001 0.0512833194331009 0.821649718028627
2.10000001 0.0504925540154034 0.808980253772798
2.15000001 0.0499821021315731 0.800801909409511
2.20000001 0.0498459841068228 0.798621057274918
2.25000001 0.0501321106998809 0.803205312683996
2.30000001 0.0508641495792932 0.814933873656726
2.35000001 0.0520657621092003 0.834185837205337
2.40000001 0.0537575033625958 0.861290532049498
2.45000001 0.0559510900821899 0.896435681184725
2.50000001 0.0586455626514993 0.939605909853269
2.55000001 0.0618018281122181 0.990174879539525
2.60000001 0.0653694221057659 1.04733406173059
2.65000001 0.0692970077630267 1.11026094874755
2.70000001 0.0735337135748913 1.17814048880404
2.75000001 0.0780236807818327 1.25007772551809
2.80000001 0.0827021147797639 1.32503453443196
2.85000001 0.0875047935950891 1.40198196564381
2.90000001 0.0923682772872318 1.47990359880757
2.95000001 0.097212270811379 1.55751296491812
3.00000001 0.101925977552533 1.63303490572757
3.05000001 0.106369387498292 1.70422621255749
3.10000001 0.110437207530002 1.76939990293074
3.15000001 0.114046435911628 1.82722614184908
3.20000001 0.11710722922955 1.87626547850698
3.25000001 0.119495037729831 1.9145224049823
3.30000001 0.121224274801693 1.94222784932963
3.35000001 0.122380253685385 1.96074868094373
3.40000001 0.123069283348673 1.9717881580059
3.45000001 0.123380441883182 1.97677346950617
3.50000001 0.123361339725453 1.97646741906549
3.55000001 0.123008918392316 1.97082100435989
3.60000001 0.122269933726427 1.95898115957084
3.65000001 0.12105168297201 1.93946262216101
3.70000001 0.119248184753071 1.91056738255022
3.75000001 0.11677920774316 1.87100999261451
3.80000001 0.113646034973202 1.82081100878451
3.85000001 0.109978591609751 1.76205206262471
3.90000001 0.105861768272579 1.69609325240039
3.95000001 0.101380009646804 1.62428753171291
4.00000001 0.0966439775120232 1.54840789850793
4.05000001 0.0917922515471983 1.47067464498579
4.10000001 0.086932406526149 1.3928113097854
4.15000001 0.0821412057960398 1.3160477778528
4.20000001 0.077481575320286 1.2413922347085
4.25000001 0.0730182653467992 1.16988209414566
4.30000001 0.0688154775395337 1.10254598066965
4.35000001 0.0649277489112506 1.04025767393538
4.40000001 0.0614061770129147 0.98383584732059
4.45000001 0.0583018877781173 0.934099628943036
4.50000001 0.0556651373322894 0.891854211051308
4.55000001 0.0535315362087778 0.857670137537779
4.60000001 0.0518984316768083 0.831504906951361
4.65000001 0.0507535561358254 0.813161970577019
4.70000001 0.0500754801705575 0.802297991181318
4.75000001 0.0498405759225656 0.798534408572784
4.80000001 0.0500243807844353 0.801479288401098
4.85000001 0.0505728259645502 0.810266352744377
4.90000001 0.0513926919456551 0.823402059630022
4.95000001 0.0524358723498038 0.840115659576295
5.00000001 0.0536692450655478 0.859876477622351
